date,website,brand,impressions,clicks,conversions,revenue
1/4/23,healthyfeet.com,Altra,1442,102,8,$256
1/4/23,healthyfeet.com,Asics,1364,57,4,$140
1/5/23,healthyfeet.com,Hoka,3634,401,28,"$1,876"
1/5/23,healthyfeet.com,Brooks,3281,267,28,$812
1/5/23,healthyfeet.com,Saucony,2936,260,26,"$1,092"
1/5/23,healthyfeet.com,On Cloud,2918,272,25,"$1,375"
1/5/23,healthyfeet.com,Nike,2445,188,21,"$1,113"
1/5/23,healthyfeet.com,Reebok,2120,91,5,$240
1/5/23,healthyfeet.com,Adidas,1964,152,13,$442
1/5/23,healthyfeet.com,New Balance,1775,134,11,$330
1/5/23,healthyfeet.com,Asics,1499,62,5,$100
1/5/23,healthyfeet.com,Altra,1420,90,7,$217
1/6/23,healthyfeet.com,Hoka,4598,372,26,"$1,794"
1/6/23,healthyfeet.com,Saucony,2844,197,21,"$1,050"
1/6/23,healthyfeet.com,On Cloud,2726,297,22,"$1,210"
1/6/23,healthyfeet.com,Brooks,2723,235,23,$552
1/6/23,healthyfeet.com,Nike,2406,188,18,$720
1/6/23,healthyfeet.com,Reebok,2227,98,6,$198
1/6/23,healthyfeet.com,Adidas,1833,128,9,$387
1/6/23,healthyfeet.com,New Balance,1659,101,8,$240
1/6/23,healthyfeet.com,Asics,1409,61,5,$165
1/6/23,healthyfeet.com,Altra,1305,83,7,$161
1/7/23,healthyfeet.com,Hoka,3803,439,29,"$1,682"
1/7/23,healthyfeet.com,Brooks,3584,335,38,"$1,102"
1/7/23,healthyfeet.com,On Cloud,3241,280,22,"$1,210"
1/7/23,healthyfeet.com,Saucony,3072,252,26,"$1,040"
1/7/23,healthyfeet.com,Nike,2447,193,18,$774
1/7/23,healthyfeet.com,Reebok,2442,106,6,$216
1/7/23,healthyfeet.com,New Balance,1976,120,7,$210
1/7/23,healthyfeet.com,Adidas,1887,117,8,$216
1/7/23,healthyfeet.com,Altra,1460,79,7,$196
1/7/23,healthyfeet.com,Asics,1203,50,3,$84
1/8/23,healthyfeet.com,Hoka,4668,497,25,"$1,175"
1/8/23,healthyfeet.com,Saucony,2986,239,25,"$1,250"
1/8/23,healthyfeet.com,On Cloud,2963,216,17,$935
1/8/23,healthyfeet.com,Brooks,2921,256,30,$840
1/8/23,healthyfeet.com,Reebok,2395,157,12,$312
1/8/23,healthyfeet.com,Nike,2356,121,12,$420
1/8/23,healthyfeet.com,New Balance,1655,126,9,$270
1/8/23,healthyfeet.com,Adidas,1630,93,7,$294
1/8/23,healthyfeet.com,Altra,1489,99,9,$279
1/8/23,healthyfeet.com,Asics,1390,96,7,$217
1/9/23,healthyfeet.com,Hoka,4154,485,34,"$2,278"
1/9/23,healthyfeet.com,On Cloud,3680,351,33,"$1,815"
1/9/23,healthyfeet.com,Saucony,3088,288,27,"$1,296"
1/9/23,healthyfeet.com,Brooks,2835,265,30,$900
1/9/23,healthyfeet.com,Reebok,2433,98,7,$315
1/9/23,healthyfeet.com,Nike,2407,169,19,$741
1/9/23,healthyfeet.com,Adidas,1660,99,7,$126
1/9/23,healthyfeet.com,New Balance,1643,145,9,$270
1/9/23,healthyfeet.com,Asics,1532,104,7,$112
1/9/23,healthyfeet.com,Altra,1342,85,7,$224
1/10/23,healthyfeet.com,Hoka,4554,376,29,"$1,363"
1/10/23,healthyfeet.com,Brooks,3152,314,37,$962
1/10/23,healthyfeet.com,Saucony,2945,197,19,$836
1/10/23,healthyfeet.com,On Cloud,2868,224,22,"$1,210"
1/10/23,healthyfeet.com,Nike,2834,195,20,"$1,080"
1/10/23,healthyfeet.com,Reebok,2455,135,10,$410
1/10/23,healthyfeet.com,New Balance,1917,142,10,$300
1/10/23,healthyfeet.com,Adidas,1903,137,11,$275
1/10/23,healthyfeet.com,Altra,1385,91,8,$224
1/10/23,healthyfeet.com,Asics,1260,80,7,$224
1/11/23,healthyfeet.com,Hoka,4790,512,31,"$1,705"
1/11/23,healthyfeet.com,Brooks,3170,278,26,"$1,014"
1/11/23,healthyfeet.com,Saucony,2959,242,27,"$1,350"
1/11/23,healthyfeet.com,On Cloud,2604,249,28,"$1,540"
1/11/23,healthyfeet.com,Nike,2444,182,18,$774
1/11/23,healthyfeet.com,Reebok,2192,143,8,$344
1/11/23,healthyfeet.com,Adidas,1823,103,7,$168
1/11/23,healthyfeet.com,New Balance,1598,105,6,$180
1/11/23,healthyfeet.com,Altra,1497,86,7,$140
1/11/23,healthyfeet.com,Asics,1402,77,6,$174
1/12/23,healthyfeet.com,Hoka,4033,431,35,"$1,890"
1/12/23,healthyfeet.com,Brooks,3662,415,41,"$1,435"
1/12/23,healthyfeet.com,On Cloud,3440,245,25,"$1,375"
1/12/23,healthyfeet.com,Saucony,2691,150,17,$782
1/12/23,healthyfeet.com,Reebok,2387,139,9,$423
1/12/23,healthyfeet.com,Nike,2304,135,14,$588
1/12/23,healthyfeet.com,New Balance,1785,97,7,$210
1/12/23,healthyfeet.com,Adidas,1752,121,11,$330
1/12/23,healthyfeet.com,Asics,1340,56,5,$110
1/12/23,healthyfeet.com,Altra,1251,83,7,$203
1/13/23,healthyfeet.com,Hoka,3989,427,25,"$1,250"
1/13/23,healthyfeet.com,Brooks,3561,288,34,"$1,258"
1/13/23,healthyfeet.com,On Cloud,3557,310,33,"$1,815"
1/13/23,healthyfeet.com,Saucony,2839,232,24,"$1,032"
1/13/23,healthyfeet.com,Reebok,2035,116,10,$500
1/13/23,healthyfeet.com,Adidas,1963,114,10,$270
1/13/23,healthyfeet.com,Nike,1961,107,12,$408
1/13/23,healthyfeet.com,New Balance,1840,99,6,$180
1/13/23,healthyfeet.com,Asics,1503,76,5,$165
1/13/23,healthyfeet.com,Altra,1414,101,8,$176
1/14/23,healthyfeet.com,Hoka,3836,446,25,"$1,600"
1/14/23,healthyfeet.com,On Cloud,3577,419,36,"$1,980"
1/14/23,healthyfeet.com,Brooks,3385,303,32,$992
1/14/23,healthyfeet.com,Saucony,3224,245,25,"$1,100"
1/14/23,healthyfeet.com,Nike,2667,140,15,$720
1/14/23,healthyfeet.com,Reebok,2432,167,13,$598
1/14/23,healthyfeet.com,New Balance,1912,166,13,$390
1/14/23,healthyfeet.com,Adidas,1819,111,10,$280
1/14/23,healthyfeet.com,Asics,1324,66,4,$104
1/14/23,healthyfeet.com,Altra,1261,72,6,$138
1/15/23,healthyfeet.com,Hoka,3601,298,23,"$1,403"
1/15/23,healthyfeet.com,Nike,2861,183,19,$646
1/15/23,healthyfeet.com,Saucony,2822,150,16,$800
1/15/23,healthyfeet.com,Brooks,2655,316,36,"$1,368"
1/15/23,healthyfeet.com,On Cloud,2642,278,28,"$1,540"
1/15/23,healthyfeet.com,Reebok,2465,116,10,$390
1/15/23,healthyfeet.com,New Balance,1756,94,6,$180
1/15/23,healthyfeet.com,Adidas,1539,79,7,$217
1/15/23,healthyfeet.com,Altra,1327,89,8,$216
1/15/23,healthyfeet.com,Asics,1319,82,7,$238
1/16/23,healthyfeet.com,Hoka,4299,459,26,"$1,560"
1/16/23,healthyfeet.com,On Cloud,3063,217,16,$880
1/16/23,healthyfeet.com,Nike,2827,159,16,$800
1/16/23,healthyfeet.com,Saucony,2737,173,18,$828
1/16/23,healthyfeet.com,Brooks,2649,248,29,$870
1/16/23,healthyfeet.com,Reebok,2475,163,9,$315
1/16/23,healthyfeet.com,New Balance,1860,119,10,$300
1/16/23,healthyfeet.com,Adidas,1738,135,11,$187
1/16/23,healthyfeet.com,Altra,1443,74,6,$150
1/16/23,healthyfeet.com,Asics,1242,76,5,$135
1/17/23,healthyfeet.com,Hoka,4559,506,26,"$1,794"
1/17/23,healthyfeet.com,On Cloud,3859,421,39,"$2,145"
1/17/23,healthyfeet.com,Saucony,3264,269,30,"$1,440"
1/17/23,healthyfeet.com,Brooks,2872,241,27,$783
1/17/23,healthyfeet.com,Reebok,2397,167,9,$441
1/17/23,healthyfeet.com,Nike,2022,163,17,$612
1/17/23,healthyfeet.com,New Balance,1914,164,11,$330
1/17/23,healthyfeet.com,Adidas,1865,129,11,$187
1/17/23,healthyfeet.com,Asics,1473,95,7,$147
1/17/23,healthyfeet.com,Altra,1329,97,8,$264
1/18/23,healthyfeet.com,Hoka,4381,410,35,"$2,170"
1/18/23,healthyfeet.com,On Cloud,3833,455,47,"$2,585"
1/18/23,healthyfeet.com,Saucony,2750,139,14,$616
1/18/23,healthyfeet.com,Brooks,2675,272,28,$980
1/18/23,healthyfeet.com,Nike,2450,133,15,$705
1/18/23,healthyfeet.com,Reebok,2260,97,6,$198
1/18/23,healthyfeet.com,New Balance,1732,146,12,$360
1/18/23,healthyfeet.com,Adidas,1588,137,10,$390
1/18/23,healthyfeet.com,Altra,1382,98,9,$207
1/18/23,healthyfeet.com,Asics,1309,68,6,$144
1/19/23,healthyfeet.com,Hoka,4766,394,35,"$2,590"
1/19/23,healthyfeet.com,Brooks,3546,383,41,"$1,353"
1/19/23,healthyfeet.com,Saucony,3323,324,31,"$1,550"
1/19/23,healthyfeet.com,On Cloud,3307,241,22,"$1,210"
1/19/23,healthyfeet.com,Nike,2804,245,24,"$1,272"
1/19/23,healthyfeet.com,Reebok,2143,129,9,$441
1/19/23,healthyfeet.com,Adidas,1870,161,15,$300
1/19/23,healthyfeet.com,New Balance,1666,122,7,$210
1/19/23,healthyfeet.com,Asics,1481,63,4,$108
1/19/23,healthyfeet.com,Altra,1447,66,6,$168
1/20/23,healthyfeet.com,Hoka,4306,407,35,"$2,450"
1/20/23,healthyfeet.com,On Cloud,3869,280,30,"$1,650"
1/20/23,healthyfeet.com,Brooks,3474,348,38,"$1,520"
1/20/23,healthyfeet.com,Saucony,2988,185,18,$846
1/20/23,healthyfeet.com,Nike,2912,244,27,"$1,026"
1/20/23,healthyfeet.com,Reebok,2265,151,9,$243
1/20/23,healthyfeet.com,New Balance,1881,154,11,$330
1/20/23,healthyfeet.com,Adidas,1723,145,12,$240
1/20/23,healthyfeet.com,Altra,1395,81,7,$238
1/20/23,healthyfeet.com,Asics,1376,79,6,$138
1/21/23,healthyfeet.com,Hoka,3839,396,29,"$1,450"
1/21/23,healthyfeet.com,On Cloud,3740,295,31,"$1,705"
1/21/23,healthyfeet.com,Saucony,2927,244,23,$989
1/21/23,healthyfeet.com,Brooks,2819,318,37,$777
1/21/23,healthyfeet.com,Reebok,2353,110,7,$294
1/21/23,healthyfeet.com,Nike,2193,174,17,$714
1/21/23,healthyfeet.com,Adidas,1862,154,13,$559
1/21/23,healthyfeet.com,New Balance,1861,137,9,$270
1/21/23,healthyfeet.com,Asics,1457,60,5,$115
1/21/23,healthyfeet.com,Altra,1366,87,8,$264
1/22/23,healthyfeet.com,Hoka,4099,393,29,"$1,943"
1/22/23,healthyfeet.com,On Cloud,3542,255,19,"$1,045"
1/22/23,healthyfeet.com,Saucony,3219,226,25,"$1,200"
1/22/23,healthyfeet.com,Brooks,2895,308,36,"$1,080"
1/22/23,healthyfeet.com,Nike,2842,184,17,$986
1/22/23,healthyfeet.com,Reebok,2047,122,8,$392
1/22/23,healthyfeet.com,New Balance,1822,115,9,$270
1/22/23,healthyfeet.com,Adidas,1731,99,9,$351
1/22/23,healthyfeet.com,Asics,1437,80,5,$85
1/22/23,healthyfeet.com,Altra,1299,61,5,$135
1/23/23,healthyfeet.com,Hoka,4255,366,20,$960
1/23/23,healthyfeet.com,Brooks,3337,280,30,$870
1/23/23,healthyfeet.com,On Cloud,2774,305,29,"$1,595"
1/23/23,healthyfeet.com,Saucony,2731,166,17,$799
1/23/23,healthyfeet.com,Nike,2522,205,20,$620
1/23/23,healthyfeet.com,Reebok,2261,110,6,$252
1/23/23,healthyfeet.com,New Balance,1918,102,7,$210
1/23/23,healthyfeet.com,Adidas,1609,136,10,$240
1/23/23,healthyfeet.com,Asics,1356,63,4,$88
1/23/23,healthyfeet.com,Altra,1339,95,8,$272
1/24/23,healthyfeet.com,Hoka,4049,335,28,"$1,960"
1/24/23,healthyfeet.com,On Cloud,3858,377,31,"$1,705"
1/24/23,healthyfeet.com,Saucony,3137,237,25,"$1,100"
1/24/23,healthyfeet.com,Brooks,2924,332,32,$640
1/24/23,healthyfeet.com,Reebok,2427,139,10,$400
1/24/23,healthyfeet.com,Nike,2074,186,19,$931
1/24/23,healthyfeet.com,Adidas,1700,135,13,$377
1/24/23,healthyfeet.com,New Balance,1654,90,5,$150
1/24/23,healthyfeet.com,Asics,1427,67,5,$100
1/24/23,healthyfeet.com,Altra,1328,71,6,$120
1/25/23,healthyfeet.com,Hoka,4635,431,29,"$1,711"
1/25/23,healthyfeet.com,On Cloud,3393,265,27,"$1,485"
1/25/23,healthyfeet.com,Brooks,3359,392,37,$777
1/25/23,healthyfeet.com,Saucony,2856,240,25,"$1,050"
1/25/23,healthyfeet.com,Reebok,2490,163,9,$270
1/25/23,healthyfeet.com,Nike,2140,132,13,$416
1/25/23,healthyfeet.com,New Balance,1937,125,8,$240
1/25/23,healthyfeet.com,Adidas,1846,145,12,$396
1/25/23,healthyfeet.com,Asics,1550,87,5,$160
1/25/23,healthyfeet.com,Altra,1433,61,6,$198
1/26/23,healthyfeet.com,Hoka,4611,371,22,"$1,562"
1/26/23,healthyfeet.com,Brooks,2747,274,33,"$1,287"
1/26/23,healthyfeet.com,On Cloud,2730,214,23,"$1,265"
1/26/23,healthyfeet.com,Saucony,2729,270,25,"$1,125"
1/26/23,healthyfeet.com,Nike,2334,135,13,$780
1/26/23,healthyfeet.com,Reebok,2134,114,8,$224
1/26/23,healthyfeet.com,New Balance,1788,158,12,$360
1/26/23,healthyfeet.com,Adidas,1602,110,10,$190
1/26/23,healthyfeet.com,Asics,1572,81,6,$210
1/26/23,healthyfeet.com,Altra,1435,99,8,$248
1/27/23,healthyfeet.com,Hoka,3740,333,24,"$1,392"
1/27/23,healthyfeet.com,On Cloud,3476,345,27,"$1,485"
1/27/23,healthyfeet.com,Brooks,3249,268,28,"$1,008"
1/27/23,healthyfeet.com,Saucony,2969,254,27,"$1,080"
1/27/23,healthyfeet.com,Reebok,2302,146,12,$420
1/27/23,healthyfeet.com,Nike,1990,163,17,$850
1/27/23,healthyfeet.com,New Balance,1701,124,9,$270
1/27/23,healthyfeet.com,Adidas,1671,150,11,$341
1/27/23,healthyfeet.com,Asics,1485,62,4,$120
1/27/23,healthyfeet.com,Altra,1480,110,10,$250
1/28/23,healthyfeet.com,Hoka,4403,423,30,"$2,070"
1/28/23,healthyfeet.com,On Cloud,3500,400,35,"$1,925"
1/28/23,healthyfeet.com,Brooks,3463,376,35,"$1,050"
1/28/23,healthyfeet.com,Saucony,2989,292,30,"$1,260"
1/28/23,healthyfeet.com,Reebok,2103,102,6,$246
1/28/23,healthyfeet.com,Nike,2048,128,14,$616
1/28/23,healthyfeet.com,Adidas,1976,150,13,$234
1/28/23,healthyfeet.com,New Balance,1924,169,12,$360
1/28/23,healthyfeet.com,Asics,1509,75,6,$198
1/28/23,healthyfeet.com,Altra,1350,89,7,$224
1/29/23,healthyfeet.com,Hoka,4330,449,24,"$1,584"
1/29/23,healthyfeet.com,On Cloud,3856,458,36,"$1,980"
1/29/23,healthyfeet.com,Brooks,3261,288,33,"$1,221"
1/29/23,healthyfeet.com,Saucony,3042,261,24,$984
1/29/23,healthyfeet.com,Nike,2267,144,15,$540
1/29/23,healthyfeet.com,Reebok,2238,138,8,$336
1/29/23,healthyfeet.com,New Balance,1865,105,6,$180
1/29/23,healthyfeet.com,Adidas,1770,133,11,$253
1/29/23,healthyfeet.com,Asics,1354,76,6,$126
1/29/23,healthyfeet.com,Altra,1315,65,6,$132
1/30/23,healthyfeet.com,Hoka,3737,326,18,"$1,242"
1/30/23,healthyfeet.com,Saucony,3261,227,25,"$1,000"
1/30/23,healthyfeet.com,On Cloud,3185,366,34,"$1,870"
1/30/23,healthyfeet.com,Brooks,3009,275,26,$754
1/30/23,healthyfeet.com,Nike,2830,168,19,$836
1/30/23,healthyfeet.com,Reebok,2382,120,8,$352
1/30/23,healthyfeet.com,Adidas,1740,133,10,$150
1/30/23,healthyfeet.com,New Balance,1701,143,11,$330
1/30/23,healthyfeet.com,Altra,1383,80,7,$210
1/30/23,healthyfeet.com,Asics,1214,55,5,$155
1/31/23,healthyfeet.com,Hoka,4843,507,32,"$2,304"
1/31/23,healthyfeet.com,On Cloud,3880,439,46,"$2,530"
1/31/23,healthyfeet.com,Brooks,3246,330,34,"$1,190"
1/31/23,healthyfeet.com,Saucony,2789,250,24,"$1,104"
1/31/23,healthyfeet.com,Reebok,2481,139,11,$286
1/31/23,healthyfeet.com,Nike,2359,212,20,$860
1/31/23,healthyfeet.com,New Balance,1867,153,9,$270
1/31/23,healthyfeet.com,Adidas,1683,139,10,$230
1/31/23,healthyfeet.com,Altra,1371,83,7,$217
1/31/23,healthyfeet.com,Asics,1242,54,3,$102
2/1/23,healthyfeet.com,Hoka,3993,380,31,"$1,984"
2/1/23,healthyfeet.com,Brooks,3749,304,33,"$1,287"
2/1/23,healthyfeet.com,Saucony,3313,232,26,"$1,118"
2/1/23,healthyfeet.com,On Cloud,2664,192,18,$990
2/1/23,healthyfeet.com,Nike,2124,179,18,$612
2/1/23,healthyfeet.com,Reebok,2032,128,10,$320
2/1/23,healthyfeet.com,New Balance,1793,142,9,$270
2/1/23,healthyfeet.com,Adidas,1760,93,8,$248
2/1/23,healthyfeet.com,Asics,1542,101,7,$217
2/1/23,healthyfeet.com,Altra,1305,76,7,$196
2/2/23,healthyfeet.com,Hoka,4293,443,38,"$2,812"
2/2/23,healthyfeet.com,Brooks,3361,338,41,"$1,435"
2/2/23,healthyfeet.com,On Cloud,2798,198,22,"$1,210"
2/2/23,healthyfeet.com,Saucony,2781,234,25,"$1,150"
2/2/23,healthyfeet.com,Reebok,2383,130,9,$360
2/2/23,healthyfeet.com,Nike,2194,162,18,$756
2/2/23,healthyfeet.com,Adidas,1883,100,9,$261
2/2/23,healthyfeet.com,New Balance,1823,109,7,$210
2/2/23,healthyfeet.com,Asics,1414,71,6,$186
2/2/23,healthyfeet.com,Altra,1206,54,5,$130
2/3/23,healthyfeet.com,Hoka,4060,351,26,"$1,170"
2/3/23,healthyfeet.com,Brooks,3419,297,27,$675
2/3/23,healthyfeet.com,On Cloud,3076,229,24,"$1,320"
2/3/23,healthyfeet.com,Nike,2866,166,18,$918
2/3/23,healthyfeet.com,Saucony,2769,239,25,"$1,200"
2/3/23,healthyfeet.com,Reebok,2396,153,9,$360
2/3/23,healthyfeet.com,New Balance,1870,124,8,$240
2/3/23,healthyfeet.com,Adidas,1864,106,8,$152
2/3/23,healthyfeet.com,Asics,1495,79,6,$96
2/3/23,healthyfeet.com,Altra,1432,93,8,$272
2/4/23,healthyfeet.com,Hoka,4717,543,42,"$2,814"
2/4/23,healthyfeet.com,Saucony,3259,205,21,"$1,029"
2/4/23,healthyfeet.com,Brooks,3254,317,38,$988
2/4/23,healthyfeet.com,On Cloud,2999,241,25,"$1,375"
2/4/23,healthyfeet.com,Nike,2872,207,21,$651
2/4/23,healthyfeet.com,Reebok,2477,119,8,$224
2/4/23,healthyfeet.com,New Balance,1865,129,10,$300
2/4/23,healthyfeet.com,Adidas,1666,94,9,$405
2/4/23,healthyfeet.com,Altra,1466,78,7,$140
2/4/23,healthyfeet.com,Asics,1230,84,6,$168
2/5/23,healthyfeet.com,Hoka,4263,460,37,"$1,776"
2/5/23,healthyfeet.com,Brooks,3235,352,35,"$1,330"
2/5/23,healthyfeet.com,Saucony,2828,235,22,$990
2/5/23,healthyfeet.com,On Cloud,2743,200,16,$880
2/5/23,healthyfeet.com,Nike,2614,207,20,"$1,040"
2/5/23,healthyfeet.com,Reebok,2439,169,11,$374
2/5/23,healthyfeet.com,New Balance,1890,153,9,$270
2/5/23,healthyfeet.com,Adidas,1630,142,11,$407
2/5/23,healthyfeet.com,Asics,1296,71,5,$135
2/5/23,healthyfeet.com,Altra,1292,94,8,$160
2/6/23,healthyfeet.com,Hoka,3878,398,36,"$1,692"
2/6/23,healthyfeet.com,Brooks,3598,351,38,"$1,292"
2/6/23,healthyfeet.com,On Cloud,3525,364,27,"$1,485"
2/6/23,healthyfeet.com,Saucony,3202,205,22,$990
2/6/23,healthyfeet.com,Reebok,2328,99,7,$329
2/6/23,healthyfeet.com,Nike,2290,125,14,$602
2/6/23,healthyfeet.com,New Balance,1905,116,7,$210
2/6/23,healthyfeet.com,Adidas,1661,109,10,$220
2/6/23,healthyfeet.com,Altra,1430,64,6,$156
2/6/23,healthyfeet.com,Asics,1399,67,5,$170
2/7/23,healthyfeet.com,Hoka,4075,416,33,"$2,310"
2/7/23,healthyfeet.com,On Cloud,3738,395,29,"$1,595"
2/7/23,healthyfeet.com,Brooks,2980,316,38,"$1,330"
2/7/23,healthyfeet.com,Saucony,2888,180,20,$800
2/7/23,healthyfeet.com,Nike,2813,242,25,$775
2/7/23,healthyfeet.com,Reebok,2434,128,10,$370
2/7/23,healthyfeet.com,Adidas,1600,104,7,$287
2/7/23,healthyfeet.com,New Balance,1569,92,6,$180
2/7/23,healthyfeet.com,Altra,1230,50,5,$160
2/7/23,healthyfeet.com,Asics,1224,55,4,$96
2/8/23,healthyfeet.com,Hoka,4003,461,30,"$1,950"
2/8/23,healthyfeet.com,Brooks,3744,443,42,"$1,386"
2/8/23,healthyfeet.com,On Cloud,3056,225,23,"$1,265"
2/8/23,healthyfeet.com,Saucony,3029,166,18,$828
2/8/23,healthyfeet.com,Nike,2805,181,19,$893
2/8/23,healthyfeet.com,Reebok,2070,112,6,$222
2/8/23,healthyfeet.com,New Balance,1862,152,11,$330
2/8/23,healthyfeet.com,Adidas,1853,166,15,$420
2/8/23,healthyfeet.com,Altra,1391,77,7,$231
2/8/23,healthyfeet.com,Asics,1249,58,4,$84
2/9/23,healthyfeet.com,Hoka,4182,397,35,"$1,785"
2/9/23,healthyfeet.com,Saucony,2929,281,28,"$1,176"
2/9/23,healthyfeet.com,Brooks,2869,263,25,$900
2/9/23,healthyfeet.com,On Cloud,2832,274,21,"$1,155"
2/9/23,healthyfeet.com,Nike,2812,167,18,$774
2/9/23,healthyfeet.com,Reebok,2211,152,12,$360
2/9/23,healthyfeet.com,New Balance,1647,126,8,$240
2/9/23,healthyfeet.com,Adidas,1526,86,6,$120
2/9/23,healthyfeet.com,Asics,1499,93,8,$200
2/9/23,healthyfeet.com,Altra,1334,91,7,$245
2/10/23,healthyfeet.com,Hoka,4984,547,47,"$2,397"
2/10/23,healthyfeet.com,On Cloud,3735,273,20,"$1,100"
2/10/23,healthyfeet.com,Brooks,3643,306,32,"$1,184"
2/10/23,healthyfeet.com,Saucony,3440,208,21,$987
2/10/23,healthyfeet.com,Reebok,2257,116,9,$297
2/10/23,healthyfeet.com,Nike,2003,118,13,$715
2/10/23,healthyfeet.com,Adidas,1637,138,9,$153
2/10/23,healthyfeet.com,New Balance,1532,113,6,$180
2/10/23,healthyfeet.com,Altra,1262,81,6,$126
2/10/23,healthyfeet.com,Asics,1209,65,5,$105
2/11/23,healthyfeet.com,Hoka,4210,450,31,"$1,953"
2/11/23,healthyfeet.com,Saucony,3515,293,32,"$1,536"
2/11/23,healthyfeet.com,Brooks,3357,306,36,"$1,404"
2/11/23,healthyfeet.com,On Cloud,3159,316,33,"$1,815"
2/11/23,healthyfeet.com,Nike,2249,173,18,$846
2/11/23,healthyfeet.com,Reebok,2030,118,7,$280
2/11/23,healthyfeet.com,New Balance,1877,131,10,$300
2/11/23,healthyfeet.com,Adidas,1518,101,9,$153
2/11/23,healthyfeet.com,Asics,1459,62,5,$115
2/11/23,healthyfeet.com,Altra,1312,75,7,$140
2/12/23,healthyfeet.com,Hoka,4240,464,39,"$1,872"
2/12/23,healthyfeet.com,On Cloud,3985,438,47,"$2,585"
2/12/23,healthyfeet.com,Brooks,3505,400,48,"$1,824"
2/12/23,healthyfeet.com,Saucony,2899,191,18,$864
2/12/23,healthyfeet.com,Nike,2874,251,23,$690
2/12/23,healthyfeet.com,Reebok,2163,142,9,$405
2/12/23,healthyfeet.com,New Balance,1882,100,8,$240
2/12/23,healthyfeet.com,Adidas,1628,87,8,$152
2/12/23,healthyfeet.com,Altra,1270,62,6,$156
2/12/23,healthyfeet.com,Asics,1218,53,4,$116
2/13/23,healthyfeet.com,Hoka,4820,564,29,"$1,885"
2/13/23,healthyfeet.com,On Cloud,3698,362,37,"$2,035"
2/13/23,healthyfeet.com,Brooks,3028,328,35,"$1,295"
2/13/23,healthyfeet.com,Saucony,2864,244,27,"$1,080"
2/13/23,healthyfeet.com,Nike,2056,148,14,$574
2/13/23,healthyfeet.com,Reebok,2023,109,9,$279
2/13/23,healthyfeet.com,Adidas,1757,102,7,$287
2/13/23,healthyfeet.com,New Balance,1632,99,6,$180
2/13/23,healthyfeet.com,Asics,1378,89,8,$120
2/13/23,healthyfeet.com,Altra,1233,78,6,$210
2/14/23,healthyfeet.com,Hoka,4553,410,31,"$1,550"
2/14/23,healthyfeet.com,On Cloud,3326,311,30,"$1,650"
2/14/23,healthyfeet.com,Brooks,3106,270,29,"$1,160"
2/14/23,healthyfeet.com,Saucony,3042,168,18,$738
2/14/23,healthyfeet.com,Reebok,2159,133,10,$360
2/14/23,healthyfeet.com,Nike,2016,125,12,$456
2/14/23,healthyfeet.com,New Balance,1990,126,10,$300
2/14/23,healthyfeet.com,Adidas,1964,137,11,$473
