date,webpage,brand,impressions,clicks,revenue,rev / conv
1/10/23,runnation.com,Under Armour,1113,82,$40,$20
1/10/23,runnation.com,Mizuno,1085,52,$200,$50
1/11/23,runnation.com,On Cloud,8451,797,"$3,780",$60
1/11/23,runnation.com,Hoka,7008,431,"$1,536",$64
1/11/23,runnation.com,Nike,5879,408,$900,$30
1/11/23,runnation.com,New Balance,5853,438,$840,$35
1/11/23,runnation.com,Saucony,4910,411,"$1,440",$45
1/11/23,runnation.com,Asics,4493,255,$455,$35
1/11/23,runnation.com,Brooks,3379,364,$960,$40
1/11/23,runnation.com,Altra,2997,174,$320,$40
1/11/23,runnation.com,Adidas,2917,221,$600,$40
1/11/23,runnation.com,Mizuno,1082,52,$150,$50
1/11/23,runnation.com,Under Armour,963,63,$20,$20
1/12/23,runnation.com,On Cloud,7570,816,"$2,820",$60
1/12/23,runnation.com,Nike,6821,498,"$1,020",$30
1/12/23,runnation.com,Hoka,6251,379,"$2,550",$75
1/12/23,runnation.com,New Balance,5823,442,$735,$35
1/12/23,runnation.com,Asics,4470,295,$455,$35
1/12/23,runnation.com,Brooks,4339,364,"$1,200",$40
1/12/23,runnation.com,Saucony,3777,342,$945,$45
1/12/23,runnation.com,Adidas,3307,235,$430,$43
1/12/23,runnation.com,Altra,2894,190,$400,$40
1/12/23,runnation.com,Mizuno,1186,52,$150,$50
1/12/23,runnation.com,Under Armour,1058,62,$60,$20
1/13/23,runnation.com,On Cloud,7635,585,"$2,700",$60
1/13/23,runnation.com,Nike,7282,389,$750,$30
1/13/23,runnation.com,Hoka,6292,393,"$1,920",$64
1/13/23,runnation.com,Saucony,4979,265,$810,$45
1/13/23,runnation.com,New Balance,4964,421,$770,$35
1/13/23,runnation.com,Asics,4379,212,$245,$35
1/13/23,runnation.com,Brooks,3247,357,"$1,200",$40
1/13/23,runnation.com,Altra,2967,180,$360,$40
1/13/23,runnation.com,Adidas,2839,207,$520,$40
1/13/23,runnation.com,Mizuno,1016,83,$200,$50
1/13/23,runnation.com,Under Armour,1013,61,$20,$20
1/14/23,runnation.com,Hoka,7307,381,"$1,848",$66
1/14/23,runnation.com,On Cloud,6755,528,"$1,860",$60
1/14/23,runnation.com,Nike,6004,426,$870,$30
1/14/23,runnation.com,New Balance,5284,318,$560,$35
1/14/23,runnation.com,Brooks,4417,389,"$1,080",$40
1/14/23,runnation.com,Asics,3923,180,$245,$35
1/14/23,runnation.com,Saucony,3760,239,$765,$45
1/14/23,runnation.com,Adidas,3404,230,$462,$42
1/14/23,runnation.com,Altra,2785,178,$320,$40
1/14/23,runnation.com,Under Armour,1229,96,$80,$20
1/14/23,runnation.com,Mizuno,1037,48,$150,$50
1/15/23,runnation.com,On Cloud,8612,622,"$2,340",$60
1/15/23,runnation.com,Hoka,6515,493,"$2,814",$67
1/15/23,runnation.com,New Balance,5920,305,$630,$35
1/15/23,runnation.com,Nike,5857,498,$990,$30
1/15/23,runnation.com,Saucony,4974,272,$765,$45
1/15/23,runnation.com,Brooks,4457,371,"$1,120",$40
1/15/23,runnation.com,Asics,3914,210,$210,$35
1/15/23,runnation.com,Adidas,2670,139,$352,$44
1/15/23,runnation.com,Altra,2551,161,$400,$40
1/15/23,runnation.com,Under Armour,1097,86,$40,$20
1/15/23,runnation.com,Mizuno,857,55,$150,$50
1/16/23,runnation.com,Hoka,7489,639,"$3,233",$61
1/16/23,runnation.com,Nike,7246,535,$990,$30
1/16/23,runnation.com,On Cloud,6857,587,"$2,160",$60
1/16/23,runnation.com,New Balance,5122,268,$455,$35
1/16/23,runnation.com,Saucony,4767,407,"$1,125",$45
1/16/23,runnation.com,Brooks,4090,425,"$1,120",$40
1/16/23,runnation.com,Asics,4002,172,$175,$35
1/16/23,runnation.com,Adidas,3009,209,$360,$40
1/16/23,runnation.com,Altra,2690,211,$480,$40
1/16/23,runnation.com,Under Armour,1343,101,$80,$20
1/16/23,runnation.com,Mizuno,1155,104,$250,$50
1/17/23,runnation.com,On Cloud,7998,482,"$2,220",$60
1/17/23,runnation.com,Hoka,6842,413,"$1,980",$60
1/17/23,runnation.com,New Balance,5924,314,$420,$35
1/17/23,runnation.com,Nike,5809,485,"$1,050",$30
1/17/23,runnation.com,Asics,4244,264,$280,$35
1/17/23,runnation.com,Brooks,3960,321,"$1,120",$40
1/17/23,runnation.com,Saucony,3783,221,$630,$45
1/17/23,runnation.com,Adidas,3137,282,$540,$45
1/17/23,runnation.com,Altra,2981,168,$320,$40
1/17/23,runnation.com,Under Armour,1253,59,$60,$20
1/17/23,runnation.com,Mizuno,853,54,$150,$50
1/18/23,runnation.com,On Cloud,8305,705,"$3,240",$60
1/18/23,runnation.com,Hoka,6910,583,"$2,684",$61
1/18/23,runnation.com,Nike,6667,579,"$1,350",$30
1/18/23,runnation.com,New Balance,5850,443,$525,$35
1/18/23,runnation.com,Saucony,4891,278,$855,$45
1/18/23,runnation.com,Brooks,4264,485,"$1,560",$40
1/18/23,runnation.com,Asics,3972,169,$280,$35
1/18/23,runnation.com,Adidas,3297,251,$720,$45
1/18/23,runnation.com,Altra,2688,160,$280,$40
1/18/23,runnation.com,Under Armour,1191,51,$20,$20
1/18/23,runnation.com,Mizuno,841,45,$150,$50
1/19/23,runnation.com,Hoka,7966,713,"$3,744",$72
1/19/23,runnation.com,On Cloud,7762,485,"$1,800",$60
1/19/23,runnation.com,Nike,6590,372,$810,$30
1/19/23,runnation.com,New Balance,5219,449,$490,$35
1/19/23,runnation.com,Saucony,4442,231,$765,$45
1/19/23,runnation.com,Asics,3919,257,$280,$35
1/19/23,runnation.com,Adidas,3303,295,$779,$41
1/19/23,runnation.com,Brooks,3248,293,"$1,000",$40
1/19/23,runnation.com,Altra,2658,205,$440,$40
1/19/23,runnation.com,Under Armour,923,63,$20,$20
1/19/23,runnation.com,Mizuno,897,41,$150,$50
1/20/23,runnation.com,On Cloud,8618,891,"$3,720",$60
1/20/23,runnation.com,Nike,6855,547,"$1,080",$30
1/20/23,runnation.com,Hoka,6541,545,"$2,772",$63
1/20/23,runnation.com,New Balance,5784,326,$385,$35
1/20/23,runnation.com,Asics,3801,210,$280,$35
1/20/23,runnation.com,Saucony,3687,313,"$1,080",$45
1/20/23,runnation.com,Adidas,3301,235,$484,$44
1/20/23,runnation.com,Brooks,3091,264,$800,$40
1/20/23,runnation.com,Altra,2577,145,$280,$40
1/20/23,runnation.com,Under Armour,1261,63,$60,$20
1/20/23,runnation.com,Mizuno,1113,99,$200,$50
1/21/23,runnation.com,Hoka,7872,567,"$2,835",$63
1/21/23,runnation.com,On Cloud,7833,819,"$2,760",$60
1/21/23,runnation.com,Nike,6955,371,$720,$30
1/21/23,runnation.com,Saucony,4717,297,$855,$45
1/21/23,runnation.com,New Balance,4640,403,$455,$35
1/21/23,runnation.com,Asics,3892,233,$175,$35
1/21/23,runnation.com,Brooks,3816,342,"$1,160",$40
1/21/23,runnation.com,Adidas,3374,198,$520,$40
1/21/23,runnation.com,Altra,2520,202,$360,$40
1/21/23,runnation.com,Under Armour,1220,74,$60,$20
1/21/23,runnation.com,Mizuno,1044,57,$200,$50
1/22/23,runnation.com,On Cloud,8117,630,"$2,520",$60
1/22/23,runnation.com,Hoka,7610,623,"$3,355",$61
1/22/23,runnation.com,Nike,6697,392,$840,$30
1/22/23,runnation.com,Saucony,4654,404,"$1,305",$45
1/22/23,runnation.com,Asics,4313,271,$385,$35
1/22/23,runnation.com,New Balance,4210,301,$630,$35
1/22/23,runnation.com,Adidas,3500,283,$672,$42
1/22/23,runnation.com,Brooks,3345,274,"$1,000",$40
1/22/23,runnation.com,Altra,2644,212,$440,$40
1/22/23,runnation.com,Under Armour,916,71,$60,$20
1/22/23,runnation.com,Mizuno,825,68,$150,$50
1/23/23,runnation.com,On Cloud,7975,572,"$2,640",$60
1/23/23,runnation.com,Hoka,7920,566,"$3,266",$71
1/23/23,runnation.com,New Balance,5842,390,$700,$35
1/23/23,runnation.com,Nike,5705,498,"$1,020",$30
1/23/23,runnation.com,Asics,4003,201,$315,$35
1/23/23,runnation.com,Saucony,4002,224,$765,$45
1/23/23,runnation.com,Brooks,3665,296,$840,$40
1/23/23,runnation.com,Adidas,3275,265,$504,$42
1/23/23,runnation.com,Altra,2580,182,$400,$40
1/23/23,runnation.com,Mizuno,1022,72,$150,$50
1/23/23,runnation.com,Under Armour,959,66,$60,$20
1/24/23,runnation.com,Hoka,7572,659,"$3,588",$69
1/24/23,runnation.com,On Cloud,7185,575,"$2,520",$60
1/24/23,runnation.com,Nike,6654,459,"$1,080",$30
1/24/23,runnation.com,New Balance,5446,370,$630,$35
1/24/23,runnation.com,Brooks,4470,368,"$1,240",$40
1/24/23,runnation.com,Asics,4292,211,$280,$35
1/24/23,runnation.com,Saucony,4249,260,$945,$45
1/24/23,runnation.com,Adidas,3246,251,$516,$43
1/24/23,runnation.com,Altra,2975,142,$320,$40
1/24/23,runnation.com,Under Armour,1317,68,$60,$20
1/24/23,runnation.com,Mizuno,831,63,$150,$50
1/25/23,runnation.com,Nike,7265,445,"$1,080",$30
1/25/23,runnation.com,Hoka,6685,408,"$2,160",$72
1/25/23,runnation.com,On Cloud,6531,462,"$1,500",$60
1/25/23,runnation.com,New Balance,6283,415,$525,$35
1/25/23,runnation.com,Saucony,4623,441,"$1,485",$45
1/25/23,runnation.com,Asics,3995,181,$245,$35
1/25/23,runnation.com,Brooks,3433,326,$800,$40
1/25/23,runnation.com,Adidas,2801,230,$585,$45
1/25/23,runnation.com,Altra,2753,204,$400,$40
1/25/23,runnation.com,Under Armour,985,65,$60,$20
1/25/23,runnation.com,Mizuno,830,68,$200,$50
1/26/23,runnation.com,Hoka,7822,421,"$2,088",$72
1/26/23,runnation.com,On Cloud,6928,689,"$2,160",$60
1/26/23,runnation.com,Nike,5744,487,"$1,050",$30
1/26/23,runnation.com,New Balance,4656,325,$665,$35
1/26/23,runnation.com,Saucony,4654,289,$945,$45
1/26/23,runnation.com,Brooks,4258,448,"$1,480",$40
1/26/23,runnation.com,Asics,3921,230,$385,$35
1/26/23,runnation.com,Adidas,3063,202,$616,$44
1/26/23,runnation.com,Altra,2706,154,$280,$40
1/26/23,runnation.com,Under Armour,1311,69,$40,$20
1/26/23,runnation.com,Mizuno,1091,73,$150,$50
1/27/23,runnation.com,Hoka,8164,656,"$3,150",$70
1/27/23,runnation.com,On Cloud,6728,534,"$2,460",$60
1/27/23,runnation.com,Nike,6089,495,"$1,020",$30
1/27/23,runnation.com,New Balance,4942,388,$455,$35
1/27/23,runnation.com,Saucony,4819,366,"$1,215",$45
1/27/23,runnation.com,Asics,4106,285,$315,$35
1/27/23,runnation.com,Brooks,3808,389,"$1,320",$40
1/27/23,runnation.com,Adidas,3412,272,$731,$43
1/27/23,runnation.com,Altra,2954,207,$360,$40
1/27/23,runnation.com,Under Armour,903,56,$60,$20
1/27/23,runnation.com,Mizuno,865,49,$150,$50
1/28/23,runnation.com,On Cloud,8405,609,"$1,860",$60
1/28/23,runnation.com,Hoka,7931,407,"$1,464",$61
1/28/23,runnation.com,Nike,7103,580,"$1,260",$30
1/28/23,runnation.com,New Balance,4867,381,$630,$35
1/28/23,runnation.com,Saucony,4561,415,"$1,170",$45
1/28/23,runnation.com,Brooks,4011,349,"$1,240",$40
1/28/23,runnation.com,Asics,3900,196,$245,$35
1/28/23,runnation.com,Adidas,3032,245,$504,$42
1/28/23,runnation.com,Altra,2783,131,$320,$40
1/28/23,runnation.com,Under Armour,1119,82,$80,$20
1/28/23,runnation.com,Mizuno,838,66,$200,$50
1/29/23,runnation.com,On Cloud,7590,499,"$1,680",$60
1/29/23,runnation.com,Hoka,7363,602,"$2,772",$66
1/29/23,runnation.com,New Balance,6142,412,$630,$35
1/29/23,runnation.com,Nike,6029,402,$810,$30
1/29/23,runnation.com,Saucony,4775,376,"$1,305",$45
1/29/23,runnation.com,Asics,4447,269,$315,$35
1/29/23,runnation.com,Brooks,3985,444,"$1,320",$40
1/29/23,runnation.com,Adidas,3021,257,$516,$43
1/29/23,runnation.com,Altra,2721,205,$360,$40
1/29/23,runnation.com,Under Armour,1220,67,$40,$20
1/29/23,runnation.com,Mizuno,896,75,$250,$50
1/30/23,runnation.com,On Cloud,8420,756,"$3,480",$60
1/30/23,runnation.com,Hoka,7897,636,"$2,556",$71
1/30/23,runnation.com,Nike,6513,428,$840,$30
1/30/23,runnation.com,Saucony,4828,404,"$1,350",$45
1/30/23,runnation.com,New Balance,4241,250,$420,$35
1/30/23,runnation.com,Asics,3830,170,$210,$35
1/30/23,runnation.com,Brooks,3323,321,$920,$40
1/30/23,runnation.com,Altra,2889,120,$280,$40
1/30/23,runnation.com,Adidas,2543,224,$656,$41
1/30/23,runnation.com,Mizuno,1089,96,$300,$50
1/30/23,runnation.com,Under Armour,911,65,$40,$20
1/31/23,runnation.com,On Cloud,8069,686,"$2,580",$60
1/31/23,runnation.com,Hoka,7128,594,"$2,850",$75
1/31/23,runnation.com,Nike,6121,539,"$1,050",$30
1/31/23,runnation.com,Saucony,4919,458,"$1,440",$45
1/31/23,runnation.com,New Balance,4321,295,$455,$35
1/31/23,runnation.com,Asics,4102,225,$350,$35
1/31/23,runnation.com,Brooks,3507,325,$960,$40
1/31/23,runnation.com,Adidas,3035,207,$540,$45
1/31/23,runnation.com,Altra,2911,173,$400,$40
1/31/23,runnation.com,Under Armour,1161,49,$40,$20
1/31/23,runnation.com,Mizuno,920,40,$100,$50
2/1/23,runnation.com,On Cloud,7973,566,"$2,580",$60
2/1/23,runnation.com,Hoka,7266,411,"$1,587",$69
2/1/23,runnation.com,Nike,6019,315,$750,$30
2/1/23,runnation.com,Saucony,4448,273,$810,$45
2/1/23,runnation.com,New Balance,4250,225,$490,$35
2/1/23,runnation.com,Brooks,4188,481,"$1,280",$40
2/1/23,runnation.com,Asics,3956,176,$175,$35
2/1/23,runnation.com,Adidas,2925,203,$540,$45
2/1/23,runnation.com,Altra,2784,195,$440,$40
2/1/23,runnation.com,Under Armour,952,51,$40,$20
2/1/23,runnation.com,Mizuno,910,47,$100,$50
2/2/23,runnation.com,On Cloud,8857,597,"$2,400",$60
2/2/23,runnation.com,Hoka,7360,399,"$1,612",$62
2/2/23,runnation.com,Nike,6777,408,$810,$30
2/2/23,runnation.com,New Balance,4548,373,$455,$35
2/2/23,runnation.com,Asics,4541,265,$385,$35
2/2/23,runnation.com,Brooks,3632,352,"$1,240",$40
2/2/23,runnation.com,Saucony,3293,270,$765,$45
2/2/23,runnation.com,Adidas,3224,210,$495,$45
2/2/23,runnation.com,Altra,2834,196,$400,$40
2/2/23,runnation.com,Under Armour,1193,83,$40,$20
2/2/23,runnation.com,Mizuno,1045,75,$150,$50
2/3/23,runnation.com,Hoka,8255,568,"$1,950",$65
2/3/23,runnation.com,On Cloud,8135,813,"$2,580",$60
2/3/23,runnation.com,Nike,5507,376,$780,$30
2/3/23,runnation.com,New Balance,4930,389,$595,$35
2/3/23,runnation.com,Asics,4574,311,$455,$35
2/3/23,runnation.com,Saucony,4486,370,"$1,125",$45
2/3/23,runnation.com,Brooks,3919,407,"$1,400",$40
2/3/23,runnation.com,Adidas,3114,241,$546,$42
2/3/23,runnation.com,Altra,2720,119,$200,$40
2/3/23,runnation.com,Under Armour,1061,50,$40,$20
2/3/23,runnation.com,Mizuno,932,76,$200,$50
2/4/23,runnation.com,On Cloud,8500,733,"$3,540",$60
2/4/23,runnation.com,Hoka,6709,452,"$1,924",$74
2/4/23,runnation.com,Nike,5394,304,$630,$30
2/4/23,runnation.com,New Balance,4500,280,$490,$35
2/4/23,runnation.com,Asics,4202,269,$385,$35
2/4/23,runnation.com,Saucony,3386,208,$630,$45
2/4/23,runnation.com,Adidas,3306,179,$559,$43
2/4/23,runnation.com,Brooks,3009,324,$920,$40
2/4/23,runnation.com,Altra,2870,152,$320,$40
2/4/23,runnation.com,Mizuno,1125,79,$250,$50
2/4/23,runnation.com,Under Armour,943,54,$40,$20
2/5/23,runnation.com,On Cloud,8403,829,"$2,760",$60
2/5/23,runnation.com,Hoka,7451,553,"$1,922",$62
2/5/23,runnation.com,Nike,6334,418,$960,$30
2/5/23,runnation.com,Asics,4348,235,$280,$35
2/5/23,runnation.com,New Balance,4337,346,$455,$35
2/5/23,runnation.com,Brooks,3928,335,$880,$40
2/5/23,runnation.com,Saucony,3313,306,"$1,125",$45
2/5/23,runnation.com,Adidas,3237,277,$720,$40
2/5/23,runnation.com,Altra,2650,194,$480,$40
2/5/23,runnation.com,Mizuno,1022,75,$150,$50
2/5/23,runnation.com,Under Armour,870,64,$60,$20
2/6/23,runnation.com,On Cloud,8607,764,"$3,420",$60
2/6/23,runnation.com,Hoka,7117,580,"$2,652",$68
2/6/23,runnation.com,Nike,5750,441,$900,$30
2/6/23,runnation.com,New Balance,5530,309,$455,$35
2/6/23,runnation.com,Asics,3914,221,$280,$35
2/6/23,runnation.com,Brooks,3736,363,$960,$40
2/6/23,runnation.com,Saucony,3575,281,$810,$45
2/6/23,runnation.com,Altra,2997,184,$360,$40
2/6/23,runnation.com,Adidas,2910,230,$495,$45
2/6/23,runnation.com,Mizuno,974,55,$150,$50
2/6/23,runnation.com,Under Armour,893,37,$20,$20
2/7/23,runnation.com,Hoka,8257,532,"$2,190",$73
2/7/23,runnation.com,On Cloud,7943,746,"$3,300",$60
2/7/23,runnation.com,New Balance,5962,312,$630,$35
2/7/23,runnation.com,Nike,5350,372,$690,$30
2/7/23,runnation.com,Asics,4577,270,$385,$35
2/7/23,runnation.com,Saucony,4137,329,$945,$45
2/7/23,runnation.com,Brooks,3847,366,$920,$40
2/7/23,runnation.com,Adidas,2729,182,$546,$42
2/7/23,runnation.com,Altra,2604,107,$240,$40
2/7/23,runnation.com,Mizuno,1054,44,$100,$50
2/7/23,runnation.com,Under Armour,1019,48,$20,$20
2/8/23,runnation.com,On Cloud,9048,838,"$3,180",$60
2/8/23,runnation.com,Hoka,7498,389,"$1,554",$74
2/8/23,runnation.com,Nike,6776,607,"$1,290",$30
2/8/23,runnation.com,New Balance,5397,299,$385,$35
2/8/23,runnation.com,Asics,4076,189,$175,$35
2/8/23,runnation.com,Saucony,3632,218,$675,$45
2/8/23,runnation.com,Brooks,3313,297,"$1,080",$40
2/8/23,runnation.com,Altra,2952,198,$360,$40
2/8/23,runnation.com,Adidas,2951,244,$672,$42
2/8/23,runnation.com,Mizuno,931,61,$150,$50
2/8/23,runnation.com,Under Armour,901,37,$40,$20
2/9/23,runnation.com,On Cloud,8378,638,"$2,400",$60
2/9/23,runnation.com,Hoka,7960,451,"$1,742",$67
2/9/23,runnation.com,Nike,5292,318,$720,$30
2/9/23,runnation.com,New Balance,4532,360,$665,$35
2/9/23,runnation.com,Asics,4485,201,$175,$35
2/9/23,runnation.com,Saucony,4068,274,$900,$45
2/9/23,runnation.com,Brooks,3429,363,"$1,240",$40
2/9/23,runnation.com,Altra,2750,218,$400,$40
2/9/23,runnation.com,Adidas,2642,206,$516,$43
2/9/23,runnation.com,Mizuno,966,45,$150,$50
2/9/23,runnation.com,Under Armour,946,62,$20,$20
2/10/23,runnation.com,On Cloud,8424,520,"$2,640",$60
2/10/23,runnation.com,Hoka,7643,482,"$2,059",$71
2/10/23,runnation.com,Nike,5329,269,$570,$30
2/10/23,runnation.com,New Balance,4480,390,$805,$35
2/10/23,runnation.com,Asics,4038,224,$350,$35
2/10/23,runnation.com,Saucony,3534,210,$765,$45
2/10/23,runnation.com,Adidas,3232,220,$405,$45
2/10/23,runnation.com,Brooks,3212,379,"$1,000",$40
2/10/23,runnation.com,Altra,2846,169,$440,$40
2/10/23,runnation.com,Mizuno,939,47,$100,$50
2/10/23,runnation.com,Under Armour,906,69,$40,$20
2/11/23,runnation.com,Hoka,7626,574,"$2,015",$65
2/11/23,runnation.com,On Cloud,7251,543,"$1,800",$60
2/11/23,runnation.com,Nike,7035,545,"$1,080",$30
2/11/23,runnation.com,New Balance,5364,404,$700,$35
2/11/23,runnation.com,Brooks,4429,448,"$1,480",$40
2/11/23,runnation.com,Asics,4011,199,$280,$35
2/11/23,runnation.com,Saucony,3254,300,$900,$45
2/11/23,runnation.com,Adidas,3165,252,$602,$43
2/11/23,runnation.com,Altra,2654,192,$360,$40
2/11/23,runnation.com,Under Armour,1116,70,$40,$20
2/11/23,runnation.com,Mizuno,956,62,$150,$50
2/12/23,runnation.com,On Cloud,9184,992,"$3,840",$60
2/12/23,runnation.com,Hoka,8470,694,"$4,440",$74
2/12/23,runnation.com,New Balance,6359,460,$630,$35
2/12/23,runnation.com,Nike,5562,485,"$1,020",$30
2/12/23,runnation.com,Saucony,4879,407,"$1,485",$45
2/12/23,runnation.com,Asics,4409,237,$210,$35
2/12/23,runnation.com,Brooks,4100,385,"$1,120",$40
2/12/23,runnation.com,Adidas,2801,174,$360,$40
2/12/23,runnation.com,Altra,2781,208,$400,$40
2/12/23,runnation.com,Under Armour,1066,75,$40,$20
2/12/23,runnation.com,Mizuno,912,47,$100,$50
2/13/23,runnation.com,On Cloud,8053,739,"$3,480",$60
2/13/23,runnation.com,Hoka,7140,636,"$3,162",$62
2/13/23,runnation.com,Nike,5721,512,"$1,140",$30
2/13/23,runnation.com,New Balance,4561,403,$525,$35
2/13/23,runnation.com,Asics,4417,274,$245,$35
2/13/23,runnation.com,Saucony,4105,301,"$1,080",$45
2/13/23,runnation.com,Brooks,3397,311,"$1,000",$40
2/13/23,runnation.com,Adidas,3177,233,$630,$42
2/13/23,runnation.com,Altra,2544,142,$280,$40
